"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"18","粗大动作","站立","往侧跌时做出向旁踏步反应","儿童站在地垫上。测试员轻轻在其身旁推儿童，并说：“站稳了，不要被我推倒”。","地垫","24-36月","是","通过","向两侧踏步后，保持稳定站立。（左右均完成）","中间反应","向两侧踏步，但不能保持稳定，或只有单侧有踏步反应","不通过","没有向侧踏步反应"
"19","粗大动作","站立","往后跌时做出向后踏步反应","儿童站在地垫上。测试员轻轻在其身前推儿童，并说：“站稳了，不要被我推倒”。","地垫","24-36月","是","通过","向后踏步后，保持稳定站立","中间反应","向后踏步，但不能保持稳定","不通过","没有向后踏步反应"
"20","粗大动作","站立","单脚站一边6秒，一边3秒","测试员示范单脚站的姿势，并且一边单脚站一边数数，一只脚数到6，然后换一只脚单脚站数到3。然后示意儿童模仿，测试员计时。","","60-72月","是","通过","能够在不扶持的情况下轮流换脚站，一只脚单脚站6秒，另一只脚单脚站3秒","中间反应","一只脚单脚站后无法轮流换脚，或者换一只脚站后无法坚持3秒","不通过","一只脚站无法坚持6秒"
"21","粗大动作","行走","扶一手走","测试员站在儿童身旁，握住儿童的一只手或让儿童握住自己的一根手指。对儿童说：“一起走”。观察儿童步态及行走距离。","","12-16月","是","通过","交替迈步走2.5米","中间反应","两脚交替迈步1~2米","不通过","行走不足1米"
"22","粗大动作","行走","独自行走5步","测试员站在儿童面前60厘米左右，用玩具吸引其注意，对儿童说：“来拿玩具”。随着儿童向前行进，测试员向后退步，让儿童始终拿不到玩具，吸引其继续行进。","玩具","12-24月","是","通过","独自行走5步","中间反应","独自行走1~4步","不通过","站着不动或者坐下"
"23","粗大动作","行走","双手抱大玩具向前行走","测试员给儿童一个20厘米的玩具球，让他拿着球向前走。站在3米外对儿童说：“拿着球过来”。","直径20厘米的玩具球","12-24月","是","通过","双手拿球行走3米","中间反应","双手拿球行走1~2步","不通过","双手拿球行走不足1米"
"24","粗大动作","行走","侧向行走","测试员面向儿童演示以同一只脚引导向侧方迈步走3米。对儿童说：“像我一样走”。","","21-22月","是","通过","以同一只脚引导，向侧方走3米","中间反应","侧方行走1.2~2.7米，其中一半过程是由同一只脚引导的","不通过","站着不动，或以非侧向行走方式走或不去模仿测试员动作"
"25","粗大动作","走直线","贴在地上的直线（240cm×10cm）","测试员演示走一段直线，一脚在线上，另一脚在旁边，将儿童放在线的一端，说：“像我一样走在线上”。","","21-22月","是","通过","一只脚在线上，一只脚在旁边，走直线1.8米","中间反应","一只脚在线上走1.2~1.5米","不通过","一只脚在线上走不足1.2米或不去模仿测试员动作"
"26","粗大动作","走直线","扶物上楼梯","儿童面对一段楼梯站好，靠近栏杆或墙。测试员将玩具放在第六阶台阶上，测试员站在儿童背后，说：“上去拿玩具”。","玩具","18-36月","是","通过","扶墙或栏杆走上4个台阶，每个台阶可上一只脚或两只脚","中间反应","扶墙或栏杆走上1~3个台阶","不通过","未移动，或以手膝爬上台阶"
"27","粗大动作","走直线","扶物下楼梯","将儿童放在一段楼梯的第4阶上，让他靠近墙或栏杆。测试员站在儿童身旁，把手伸给儿童。说：“我们一起下楼梯”。","","18-36月","是","通过","靠牵着手下楼梯4阶","中间反应","靠牵着手下楼梯2~3个台阶","不通过","站着不动，或蹲下坐着下楼梯"
"28","粗大动作","在15厘米宽的平衡木上交替行走","15厘米宽、1.8米长的平衡木，平衡木离地10厘米","测试员示范在平衡木上行走，然后示意儿童模仿。","","24-36月","是","通过","在平衡木上双脚交替行走1.8米","中间反应","在平衡木上走走1~1.5米","不通过","在平衡木上行走不足1米"
"29","粗大动作","在15厘米宽的平衡木上交替行走","两步上一级楼梯（不扶物）","儿童面对一段楼梯站好，双脚靠近台阶中央。测试员将玩具放在第6阶台阶上，测试员站在儿童背后，说：“不扶着，自己上去拿玩具”。","玩具","24-36月","是","通过","不扶墙或栏杆走上4个台阶，两步上一个楼梯","中间反应","扶墙或栏杆走上4个台阶","不通过","未移动，或以手膝爬上台阶"
"30","粗大动作","在15厘米宽的平衡木上交替行走","两步下一级楼梯（不扶物）","将儿童放在一段楼梯的第4阶上，让他靠近墙或栏杆。测试员站在儿童下面的2层台阶，说：“走下楼梯”。儿童开始下楼时测试员往下一层退。","","24-36月","是","通过","不扶墙或栏杆走下4个台阶，每个台阶2步","中间反应","不扶物走下1~3个台阶","不通过","未移动，或扶着墙或栏杆下楼梯"
"31","粗大动作","在15厘米宽的平衡木上交替行走","一步上一级楼梯","儿童面对一段楼梯站好，双脚靠近台阶中央。测试员将玩具放在第6阶台阶上，测试员站在儿童背后，说：“不扶着，自己上去拿玩具”。","玩具","36-48月","是","通过","一步上一个楼梯，不扶墙或栏杆走上6个台阶","中间反应","一步上一个楼梯走上4个台阶，间或需要扶物","不通过","未移动，或以手膝爬上台阶，或两步上一个台阶"
"32","粗大动作","在15厘米宽的平衡木上交替行走","一步下一级楼梯","将儿童放在一段楼梯的第4阶上，让他靠近墙或栏杆。测试员站在儿童下面的2层台阶。说：“走下楼梯”。儿童开始下楼时测试员往下一层退。","","36-48月","是","通过","不扶墙或栏杆走下4个台阶，每个台阶1步","中间反应","不扶物走下1~3个台阶，间或两步下一个台阶","不通过","未移动，或扶着墙或栏杆下楼梯"
"33","粗大动作","踮脚走10步","地上贴直线","测试员双手叉腰，演示在地上的直线上踮脚走。对儿童说：“像我这样，手叉腰，踮起脚尖走10步”。","","36-48月","是","通过","双手叉腰，踮脚尖走10步","中间反应","双手叉腰，踮脚尖走4-9步","不通过","踮脚尖走1-3步"
"34","粗大动作","在平地上倒退走直线5步","地上贴直线","测试员演示双手叉腰，足趾跟着足跟，踩在直线上向后走。对儿童说：“像我这样，手叉腰，脚趾头碰脚后跟，尽量踩着线走”。观察儿童的平衡、脚踩的位置及踩线走的距离。","","48-52月","是","通过","双手叉腰，脚趾碰足跟，每一步都踩在线上，后退走5步","中间反应","双手叉腰，脚趾碰足跟，每一步都踩在线上，后退走2-4步","不通过","后退走不足2步"
"35","粗大动作","脚尖贴脚后跟走3米","地上贴2条相距3米长的直线","测试员先示范脚尖贴脚后跟走，然后对儿童说：“像我这样，双手叉腰，脚尖贴脚后跟走，从这条直线走到那条直线”。","","48-60月","是","通过","双手叉腰，脚尖贴脚跟走3米","中间反应","双手叉腰，脚尖贴脚跟走1-2米","不通过","脚尖贴脚跟走不足1米"
"36","粗大动作","脚后跟行走3米","地上贴2条相距3米长的直线","测试员先示范用脚后跟行走，然后对儿童说：“像我这样，双手叉腰，用脚后跟走，从这条直线走到那条直线”。","","48-60月","是","通过","双手叉腰，用脚跟走3米。","中间反应","双手叉腰，用脚跟走1-2米","不通过","用脚跟走不足1米"
"37","粗大动作","跳跃","手扶弹跳","测试员弯腰或蹲下，扶儿童面朝自己站立。让儿童握住食指，食指高度与儿童肩部持平。上下移动手2次，鼓励儿童跳。","","","是","通过","屈膝跳3次","中间反应","屈膝跳1~2次","不通过","腿僵直或坐下 10月"
"38","粗大动作","跳跃","原地向上跳，离地5厘米","测试员示范双脚一起向上跳，先屈膝，然后身体起跳。对儿童说：“像我这样跳”。","","24-36月","是","通过","向上双脚起跳离地5厘米","中间反应","双脚起跳稍稍离地，或者单脚起跳5厘米","不通过","脚趾没有离开地面"
"39","粗大动作","向前跳10厘米","贴在地上的直线（60cm×5cm）","测试员演示双脚起跳和落地，从起跳线向前跳10厘米。将儿童放在线后，脚趾挨着线。说：“像我一样跳”。然后测量后脚跟接触地面处到起跳线之间的距离。","","24-36月","是","通过","向前跳出10厘米，并能保持平衡","中间反应","向前跳不足10厘米，且能保持平衡","不通过","向前走或跳后跌倒，或不去模仿测试员动作"
"40","粗大动作","站在楼梯或台阶上向下跳","10厘米高的台阶，台阶宽度最少50厘米。","测试员示范从台阶上双脚跳下，然后示意儿童模仿。协助儿童站在台阶上，说：“双脚一起跳到地上”。","","24-36月","是","通过","不需辅助双脚起跳着地后能保持平衡","中间反应","双脚起跳着地后不能保持平衡","不通过","单脚跳下，或无法模仿此动作"
"41","粗大动作","跳上5厘米高台阶","5厘米左右台阶","测试员示范双脚一起跳上台阶，先屈膝，然后身体跳起。说：“像我这样跳上台阶”。","","36-48月","是","通过","双脚一起向上跳5厘米台阶","中间反应","双脚跳起稍稍离开地面，或单脚跳上台阶","不通过","脚趾未离开地面，或不去模仿测试员动作"
"42","粗大动作","跳过高度25厘米的栏杆","高度到25厘米的栏杆","测试员示范后让儿童模仿，说：“双脚跳过这个栏杆”。","","48-60月","是","通过","双脚起跳，跳过栏杆后保持平衡","中间反应","单脚跳过栏杆后保持平衡","不通过","脚趾未离开地面，或迈过栏杆"
